127.0.0.1 - - [09/Jan/2021:19:12:59 -0300] "GET / HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [09/Jan/2021:19:13:05 -0300] "GET /TFTbuilder/Controlers/index.jsp HTTP/1.1" 200 1260
0:0:0:0:0:0:0:1 - - [09/Jan/2021:19:13:05 -0300] "GET /TFTbuilder/MDB/css/mdb.min.css HTTP/1.1" 404 805
0:0:0:0:0:0:0:1 - - [09/Jan/2021:19:13:05 -0300] "GET /TFTbuilder/MDB/css/bootstrap.min.css HTTP/1.1" 404 811
0:0:0:0:0:0:0:1 - - [09/Jan/2021:19:13:05 -0300] "GET /TFTbuilder/MDB/css/style.css HTTP/1.1" 404 803
0:0:0:0:0:0:0:1 - - [09/Jan/2021:19:13:05 -0300] "GET /TFTbuilder/MDB/js/mdb.min.js HTTP/1.1" 404 803
0:0:0:0:0:0:0:1 - - [09/Jan/2021:19:13:05 -0300] "GET /TFTbuilder/MDB/js/bootstrap.min.js HTTP/1.1" 404 809
0:0:0:0:0:0:0:1 - - [09/Jan/2021:19:26:47 -0300] "GET /TFTbuilder/Controlers/index.jsp HTTP/1.1" 200 1260
0:0:0:0:0:0:0:1 - - [09/Jan/2021:19:26:48 -0300] "GET /TFTbuilder/MDB/css/bootstrap.min.css HTTP/1.1" 404 811
0:0:0:0:0:0:0:1 - - [09/Jan/2021:19:26:48 -0300] "GET /TFTbuilder/MDB/css/mdb.min.css HTTP/1.1" 404 805
0:0:0:0:0:0:0:1 - - [09/Jan/2021:19:26:48 -0300] "GET /TFTbuilder/MDB/css/style.css HTTP/1.1" 404 803
0:0:0:0:0:0:0:1 - - [09/Jan/2021:19:26:48 -0300] "GET /TFTbuilder/MDB/js/mdb.min.js HTTP/1.1" 404 803
0:0:0:0:0:0:0:1 - - [09/Jan/2021:19:26:48 -0300] "GET /TFTbuilder/MDB/js/bootstrap.min.js HTTP/1.1" 404 809
0:0:0:0:0:0:0:1 - - [09/Jan/2021:19:26:48 -0300] "GET /TFTbuilder/MDB/js/bootstrap.min.js HTTP/1.1" 404 809
0:0:0:0:0:0:0:1 - - [09/Jan/2021:19:26:48 -0300] "GET /TFTbuilder/MDB/js/mdb.min.js HTTP/1.1" 404 803
0:0:0:0:0:0:0:1 - - [09/Jan/2021:19:26:49 -0300] "GET /favicon.ico HTTP/1.1" 404 774
