0:0:0:0:0:0:0:1 - - [23/Jan/2021:03:49:18 -0300] "GET /TFTbuilder/Controlers/index.jsp HTTP/1.1" 200 5917
0:0:0:0:0:0:0:1 - - [23/Jan/2021:03:49:19 -0300] "GET /TFTbuilder/Imagens/Misc/favicon.png HTTP/1.1" 200 28937
0:0:0:0:0:0:0:1 - - [23/Jan/2021:03:49:28 -0300] "GET /TFTbuilder/Controlers/user.jsp?acao=C HTTP/1.1" 200 6798
0:0:0:0:0:0:0:1 - - [23/Jan/2021:03:49:28 -0300] "GET /TFTbuilder/Models/createUserList.jsp?idUser=3 HTTP/1.1" 200 112
0:0:0:0:0:0:0:1 - - [23/Jan/2021:03:49:28 -0300] "GET /TFTbuilder/Models/createRequestList.jsp?idUser=3 HTTP/1.1" 200 116
0:0:0:0:0:0:0:1 - - [23/Jan/2021:03:49:30 -0300] "GET /TFTbuilder/Controlers/user.jsp?acao=C&painel=R HTTP/1.1" 200 6840
0:0:0:0:0:0:0:1 - - [23/Jan/2021:03:49:30 -0300] "GET /TFTbuilder/Models/createUserList.jsp?idUser=3 HTTP/1.1" 200 112
0:0:0:0:0:0:0:1 - - [23/Jan/2021:03:49:30 -0300] "GET /TFTbuilder/Models/createRequestList.jsp?idUser=3 HTTP/1.1" 200 116
0:0:0:0:0:0:0:1 - - [23/Jan/2021:03:49:31 -0300] "GET /TFTbuilder/Controlers/user.jsp?acao=C&painel=L HTTP/1.1" 200 6798
0:0:0:0:0:0:0:1 - - [23/Jan/2021:03:49:32 -0300] "GET /TFTbuilder/Models/createRequestList.jsp?idUser=3 HTTP/1.1" 200 116
0:0:0:0:0:0:0:1 - - [23/Jan/2021:03:49:32 -0300] "GET /TFTbuilder/Models/createUserList.jsp?idUser=3 HTTP/1.1" 200 112
0:0:0:0:0:0:0:1 - - [23/Jan/2021:03:49:33 -0300] "GET /TFTbuilder/Controlers/index.jsp HTTP/1.1" 200 5917
0:0:0:0:0:0:0:1 - - [23/Jan/2021:03:49:36 -0300] "GET /TFTbuilder/Controlers/user.jsp HTTP/1.1" 200 7308
0:0:0:0:0:0:0:1 - - [23/Jan/2021:03:49:39 -0300] "GET /TFTbuilder/Controlers/index.jsp HTTP/1.1" 200 5917
0:0:0:0:0:0:0:1 - - [23/Jan/2021:03:49:53 -0300] "GET /TFTbuilder/Models/disconnectUser.jsp HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [23/Jan/2021:03:49:53 -0300] "GET /TFTbuilder/Controlers/index.jsp HTTP/1.1" 200 2794
