127.0.0.1 - - [17/Jan/2021:23:43:51 -0300] "GET / HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [17/Jan/2021:23:43:52 -0300] "GET /TFTbuilder/Controlers/index.jsp HTTP/1.1" 200 2794
0:0:0:0:0:0:0:1 - - [17/Jan/2021:23:43:52 -0300] "GET /TFTbuilder/MDB/css/mdb.min.css HTTP/1.1" 200 292701
0:0:0:0:0:0:0:1 - - [17/Jan/2021:23:43:52 -0300] "GET /TFTbuilder/MDB/js/mdb.min.js HTTP/1.1" 200 214603
0:0:0:0:0:0:0:1 - - [17/Jan/2021:23:43:52 -0300] "GET /TFTbuilder/Styles/index.css HTTP/1.1" 200 1018
0:0:0:0:0:0:0:1 - - [17/Jan/2021:23:43:52 -0300] "GET /TFTbuilder/Imagens/Misc/Fachada.png HTTP/1.1" 200 331190
0:0:0:0:0:0:0:1 - - [17/Jan/2021:23:43:52 -0300] "GET /TFTbuilder/Imagens/Misc/Banner.png HTTP/1.1" 200 25972
0:0:0:0:0:0:0:1 - - [17/Jan/2021:23:43:52 -0300] "GET /TFTbuilder/Imagens/Misc/Fundo.png HTTP/1.1" 200 1159934
0:0:0:0:0:0:0:1 - - [17/Jan/2021:23:46:51 -0300] "POST /TFTbuilder/Models/testLogin.jsp HTTP/1.1" 200 18
0:0:0:0:0:0:0:1 - - [17/Jan/2021:23:46:51 -0300] "GET /TFTbuilder/Controlers/index.jsp HTTP/1.1" 200 3351
0:0:0:0:0:0:0:1 - - [17/Jan/2021:23:46:51 -0300] "GET /TFTbuilder/Imagens/Misc/Logo.png HTTP/1.1" 200 68274
0:0:0:0:0:0:0:1 - - [17/Jan/2021:23:46:51 -0300] "GET /TFTbuilder/Imagens/Usuarios/sieg.png HTTP/1.1" 200 25528
0:0:0:0:0:0:0:1 - - [17/Jan/2021:23:46:51 -0300] "GET /TFTbuilder/Imagens/Misc/favicon.png HTTP/1.1" 200 28937
0:0:0:0:0:0:0:1 - - [17/Jan/2021:23:46:58 -0300] "GET /TFTbuilder/Controlers/builder.jsp HTTP/1.1" 200 4446
0:0:0:0:0:0:0:1 - - [17/Jan/2021:23:47:00 -0300] "GET /TFTbuilder/Controlers/builder.jsp?acao=L HTTP/1.1" 200 5681
0:0:0:0:0:0:0:1 - - [17/Jan/2021:23:47:00 -0300] "GET /TFTbuilder/Imagens/Misc/Pingu.png HTTP/1.1" 200 133821
0:0:0:0:0:0:0:1 - - [17/Jan/2021:23:47:02 -0300] "GET /TFTbuilder/Controlers/builder.jsp?acao=C&id=1 HTTP/1.1" 200 8594
0:0:0:0:0:0:0:1 - - [17/Jan/2021:23:47:02 -0300] "GET /TFTbuilder/Imagens/Sinergias/adepto.svg HTTP/1.1" 200 1045
0:0:0:0:0:0:0:1 - - [17/Jan/2021:23:47:02 -0300] "GET /TFTbuilder/Imagens/Campeoes/Kindred.png HTTP/1.1" 200 25849
0:0:0:0:0:0:0:1 - - [17/Jan/2021:23:47:02 -0300] "GET /TFTbuilder/Models/createChampList.jsp HTTP/1.1" 200 1633
0:0:0:0:0:0:0:1 - - [17/Jan/2021:23:47:02 -0300] "GET /TFTbuilder/Imagens/Campeoes/Ahri.png HTTP/1.1" 200 26198
0:0:0:0:0:0:0:1 - - [17/Jan/2021:23:47:02 -0300] "GET /TFTbuilder/Imagens/Campeoes/Annie.png HTTP/1.1" 200 28235
0:0:0:0:0:0:0:1 - - [17/Jan/2021:23:47:02 -0300] "GET /TFTbuilder/Imagens/Campeoes/Akali.png HTTP/1.1" 200 5943
0:0:0:0:0:0:0:1 - - [17/Jan/2021:23:47:02 -0300] "GET /TFTbuilder/Imagens/Campeoes/Aphelios.png HTTP/1.1" 200 16387
0:0:0:0:0:0:0:1 - - [17/Jan/2021:23:47:02 -0300] "GET /TFTbuilder/Imagens/Campeoes/Aatrox.png HTTP/1.1" 200 21691
0:0:0:0:0:0:0:1 - - [17/Jan/2021:23:47:02 -0300] "GET /TFTbuilder/Imagens/Campeoes/Ashe.png HTTP/1.1" 200 25470
0:0:0:0:0:0:0:1 - - [17/Jan/2021:23:47:02 -0300] "GET /TFTbuilder/Imagens/Campeoes/Azir.png HTTP/1.1" 200 24524
0:0:0:0:0:0:0:1 - - [17/Jan/2021:23:47:02 -0300] "GET /TFTbuilder/Imagens/Campeoes/Riven.png HTTP/1.1" 200 26199
0:0:0:0:0:0:0:1 - - [17/Jan/2021:23:47:02 -0300] "GET /TFTbuilder/Imagens/Campeoes/Lillia.png HTTP/1.1" 200 25573
0:0:0:0:0:0:0:1 - - [17/Jan/2021:23:47:02 -0300] "GET /TFTbuilder/Imagens/Campeoes/Shen.png HTTP/1.1" 200 5229
0:0:0:0:0:0:0:1 - - [17/Jan/2021:23:47:02 -0300] "GET /TFTbuilder/Imagens/Campeoes/Kalista.png HTTP/1.1" 200 24877
0:0:0:0:0:0:0:1 - - [17/Jan/2021:23:47:02 -0300] "GET /TFTbuilder/Imagens/Campeoes/Thresh.png HTTP/1.1" 200 25620
0:0:0:0:0:0:0:1 - - [17/Jan/2021:23:47:02 -0300] "GET /TFTbuilder/Imagens/Campeoes/Kennen.png HTTP/1.1" 200 6590
0:0:0:0:0:0:0:1 - - [17/Jan/2021:23:47:02 -0300] "GET /TFTbuilder/Imagens/Campeoes/Nunu.png HTTP/1.1" 200 30678
0:0:0:0:0:0:0:1 - - [17/Jan/2021:23:47:02 -0300] "GET /TFTbuilder/Imagens/Campeoes/Lulu.png HTTP/1.1" 200 7186
0:0:0:0:0:0:0:1 - - [17/Jan/2021:23:47:02 -0300] "GET /TFTbuilder/Imagens/Campeoes/Katarina.png HTTP/1.1" 200 21541
