127.0.0.1 - - [24/Jan/2021:01:43:29 -0300] "GET / HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [24/Jan/2021:01:43:30 -0300] "GET /TFTbuilder/Controlers/index.jsp HTTP/1.1" 200 2794
0:0:0:0:0:0:0:1 - - [24/Jan/2021:01:43:30 -0300] "GET /TFTbuilder/Styles/index.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jan/2021:01:43:31 -0300] "GET /TFTbuilder/MDB/js/mdb.min.js HTTP/1.1" 200 214603
0:0:0:0:0:0:0:1 - - [24/Jan/2021:01:43:31 -0300] "GET /TFTbuilder/MDB/css/mdb.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jan/2021:01:43:31 -0300] "GET /TFTbuilder/Imagens/Misc/Fundo.png HTTP/1.1" 200 1159934
0:0:0:0:0:0:0:1 - - [24/Jan/2021:01:45:35 -0300] "GET /TFTbuilder/Controlers/index.jsp HTTP/1.1" 200 4976
0:0:0:0:0:0:0:1 - - [24/Jan/2021:01:45:36 -0300] "GET /TFTbuilder/MDB/css/mdb.min.css HTTP/1.1" 200 292701
0:0:0:0:0:0:0:1 - - [24/Jan/2021:01:45:36 -0300] "GET /TFTbuilder/Styles/index.css HTTP/1.1" 200 1618
0:0:0:0:0:0:0:1 - - [24/Jan/2021:01:45:36 -0300] "GET /TFTbuilder/MDB/js/mdb.min.js HTTP/1.1" 200 214603
0:0:0:0:0:0:0:1 - - [24/Jan/2021:01:45:36 -0300] "GET /TFTbuilder/Imagens/Misc/Fachada.png HTTP/1.1" 200 331190
0:0:0:0:0:0:0:1 - - [24/Jan/2021:01:45:36 -0300] "GET /TFTbuilder/Imagens/Misc/Banner.png HTTP/1.1" 200 25972
0:0:0:0:0:0:0:1 - - [24/Jan/2021:01:45:36 -0300] "GET /TFTbuilder/Imagens/Misc/Fundo.png HTTP/1.1" 200 1159934
