127.0.0.1 - - [22/Jan/2021:17:30:36 -0300] "GET / HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [22/Jan/2021:17:30:40 -0300] "GET /TFTbuilder/Controlers/index.jsp HTTP/1.1" 200 2794
0:0:0:0:0:0:0:1 - - [22/Jan/2021:17:30:40 -0300] "GET /TFTbuilder/MDB/css/mdb.min.css HTTP/1.1" 200 292701
0:0:0:0:0:0:0:1 - - [22/Jan/2021:17:30:40 -0300] "GET /TFTbuilder/Styles/index.css HTTP/1.1" 200 1060
0:0:0:0:0:0:0:1 - - [22/Jan/2021:17:30:40 -0300] "GET /TFTbuilder/MDB/js/mdb.min.js HTTP/1.1" 200 214603
0:0:0:0:0:0:0:1 - - [22/Jan/2021:17:30:40 -0300] "GET /TFTbuilder/Imagens/Misc/Fachada.png HTTP/1.1" 200 331190
0:0:0:0:0:0:0:1 - - [22/Jan/2021:17:30:40 -0300] "GET /TFTbuilder/Imagens/Misc/Banner.png HTTP/1.1" 200 25972
0:0:0:0:0:0:0:1 - - [22/Jan/2021:17:30:41 -0300] "GET /TFTbuilder/Imagens/Misc/Fundo.png HTTP/1.1" 200 1159934
0:0:0:0:0:0:0:1 - - [22/Jan/2021:17:30:50 -0300] "POST /TFTbuilder/Models/testLogin.jsp HTTP/1.1" 200 18
0:0:0:0:0:0:0:1 - - [22/Jan/2021:17:30:50 -0300] "GET /TFTbuilder/Controlers/index.jsp HTTP/1.1" 200 3443
0:0:0:0:0:0:0:1 - - [22/Jan/2021:17:30:50 -0300] "GET /TFTbuilder/Imagens/Misc/Logo.png HTTP/1.1" 200 68274
0:0:0:0:0:0:0:1 - - [22/Jan/2021:17:30:51 -0300] "GET /TFTbuilder/Imagens/Usuarios/sieg.png HTTP/1.1" 200 25528
0:0:0:0:0:0:0:1 - - [22/Jan/2021:17:30:51 -0300] "GET /TFTbuilder/Imagens/Misc/favicon.png HTTP/1.1" 200 28937
0:0:0:0:0:0:0:1 - - [22/Jan/2021:17:43:47 -0300] "GET /TFTbuilder/Controlers/index.jsp HTTP/1.1" 200 3911
0:0:0:0:0:0:0:1 - - [22/Jan/2021:17:43:47 -0300] "GET /TFTbuilder/Styles/index.css HTTP/1.1" 200 1060
0:0:0:0:0:0:0:1 - - [22/Jan/2021:17:43:47 -0300] "GET /TFTbuilder/MDB/css/mdb.min.css HTTP/1.1" 200 292701
0:0:0:0:0:0:0:1 - - [22/Jan/2021:17:43:47 -0300] "GET /TFTbuilder/Imagens/Misc/Logo.png HTTP/1.1" 200 68274
0:0:0:0:0:0:0:1 - - [22/Jan/2021:17:43:47 -0300] "GET /TFTbuilder/MDB/js/mdb.min.js HTTP/1.1" 200 214603
0:0:0:0:0:0:0:1 - - [22/Jan/2021:17:43:47 -0300] "GET /TFTbuilder/Imagens/Usuarios/sieg.png HTTP/1.1" 200 25528
0:0:0:0:0:0:0:1 - - [22/Jan/2021:17:43:47 -0300] "GET /TFTbuilder/Imagens/Misc/Fundo.png HTTP/1.1" 200 1159934
0:0:0:0:0:0:0:1 - - [22/Jan/2021:17:43:48 -0300] "GET /TFTbuilder/Imagens/Misc/favicon.png HTTP/1.1" 200 28937
0:0:0:0:0:0:0:1 - - [22/Jan/2021:17:43:59 -0300] "GET /TFTbuilder/Controlers/index.jsp HTTP/1.1" 200 3923
0:0:0:0:0:0:0:1 - - [22/Jan/2021:17:43:59 -0300] "GET /TFTbuilder/MDB/css/mdb.min.css HTTP/1.1" 200 292701
0:0:0:0:0:0:0:1 - - [22/Jan/2021:17:43:59 -0300] "GET /TFTbuilder/Styles/index.css HTTP/1.1" 200 1060
0:0:0:0:0:0:0:1 - - [22/Jan/2021:17:43:59 -0300] "GET /TFTbuilder/MDB/js/mdb.min.js HTTP/1.1" 200 214603
0:0:0:0:0:0:0:1 - - [22/Jan/2021:17:43:59 -0300] "GET /TFTbuilder/Imagens/Misc/Logo.png HTTP/1.1" 200 68274
0:0:0:0:0:0:0:1 - - [22/Jan/2021:17:43:59 -0300] "GET /TFTbuilder/Imagens/Usuarios/sieg.png HTTP/1.1" 200 25528
0:0:0:0:0:0:0:1 - - [22/Jan/2021:17:43:59 -0300] "GET /TFTbuilder/Imagens/Misc/Fundo.png HTTP/1.1" 200 1159934
0:0:0:0:0:0:0:1 - - [22/Jan/2021:17:44:00 -0300] "GET /TFTbuilder/Imagens/Misc/favicon.png HTTP/1.1" 200 28937
0:0:0:0:0:0:0:1 - - [22/Jan/2021:17:44:25 -0300] "GET /TFTbuilder/Controlers/index.jsp HTTP/1.1" 200 3937
0:0:0:0:0:0:0:1 - - [22/Jan/2021:17:44:25 -0300] "GET /TFTbuilder/MDB/css/mdb.min.css HTTP/1.1" 200 292701
0:0:0:0:0:0:0:1 - - [22/Jan/2021:17:44:25 -0300] "GET /TFTbuilder/Styles/index.css HTTP/1.1" 200 1071
0:0:0:0:0:0:0:1 - - [22/Jan/2021:17:44:25 -0300] "GET /TFTbuilder/MDB/js/mdb.min.js HTTP/1.1" 200 214603
0:0:0:0:0:0:0:1 - - [22/Jan/2021:17:44:25 -0300] "GET /TFTbuilder/Imagens/Usuarios/sieg.png HTTP/1.1" 200 25528
0:0:0:0:0:0:0:1 - - [22/Jan/2021:17:44:25 -0300] "GET /TFTbuilder/Imagens/Misc/Logo.png HTTP/1.1" 200 68274
0:0:0:0:0:0:0:1 - - [22/Jan/2021:17:44:25 -0300] "GET /TFTbuilder/Imagens/Misc/Fundo.png HTTP/1.1" 200 1159934
0:0:0:0:0:0:0:1 - - [22/Jan/2021:17:44:26 -0300] "GET /TFTbuilder/Imagens/Misc/favicon.png HTTP/1.1" 200 28937
0:0:0:0:0:0:0:1 - - [22/Jan/2021:17:44:44 -0300] "GET /TFTbuilder/Controlers/index.jsp HTTP/1.1" 200 3956
0:0:0:0:0:0:0:1 - - [22/Jan/2021:17:44:44 -0300] "GET /TFTbuilder/MDB/css/mdb.min.css HTTP/1.1" 200 292701
0:0:0:0:0:0:0:1 - - [22/Jan/2021:17:44:44 -0300] "GET /TFTbuilder/Styles/index.css HTTP/1.1" 200 1071
0:0:0:0:0:0:0:1 - - [22/Jan/2021:17:44:45 -0300] "GET /TFTbuilder/MDB/js/mdb.min.js HTTP/1.1" 200 214603
0:0:0:0:0:0:0:1 - - [22/Jan/2021:17:44:45 -0300] "GET /TFTbuilder/Imagens/Misc/Logo.png HTTP/1.1" 200 68274
0:0:0:0:0:0:0:1 - - [22/Jan/2021:17:44:45 -0300] "GET /TFTbuilder/Imagens/Usuarios/sieg.png HTTP/1.1" 200 25528
0:0:0:0:0:0:0:1 - - [22/Jan/2021:17:44:45 -0300] "GET /TFTbuilder/Imagens/Misc/Fundo.png HTTP/1.1" 200 1159934
0:0:0:0:0:0:0:1 - - [22/Jan/2021:17:44:45 -0300] "GET /TFTbuilder/Imagens/Misc/favicon.png HTTP/1.1" 200 28937
0:0:0:0:0:0:0:1 - - [22/Jan/2021:17:44:50 -0300] "GET /TFTbuilder/Controlers/index.jsp HTTP/1.1" 200 3950
0:0:0:0:0:0:0:1 - - [22/Jan/2021:17:44:50 -0300] "GET /TFTbuilder/Styles/index.css HTTP/1.1" 200 1071
0:0:0:0:0:0:0:1 - - [22/Jan/2021:17:44:50 -0300] "GET /TFTbuilder/MDB/css/mdb.min.css HTTP/1.1" 200 292701
0:0:0:0:0:0:0:1 - - [22/Jan/2021:17:44:51 -0300] "GET /TFTbuilder/MDB/js/mdb.min.js HTTP/1.1" 200 214603
0:0:0:0:0:0:0:1 - - [22/Jan/2021:17:44:51 -0300] "GET /TFTbuilder/Imagens/Misc/Logo.png HTTP/1.1" 200 68274
0:0:0:0:0:0:0:1 - - [22/Jan/2021:17:44:51 -0300] "GET /TFTbuilder/Imagens/Usuarios/sieg.png HTTP/1.1" 200 25528
0:0:0:0:0:0:0:1 - - [22/Jan/2021:17:44:51 -0300] "GET /TFTbuilder/Imagens/Misc/Fundo.png HTTP/1.1" 200 1159934
0:0:0:0:0:0:0:1 - - [22/Jan/2021:17:44:51 -0300] "GET /TFTbuilder/Imagens/Misc/favicon.png HTTP/1.1" 200 28937
0:0:0:0:0:0:0:1 - - [22/Jan/2021:17:44:54 -0300] "GET /TFTbuilder/Controlers/index.jsp HTTP/1.1" 200 3950
0:0:0:0:0:0:0:1 - - [22/Jan/2021:17:44:54 -0300] "GET /TFTbuilder/MDB/css/mdb.min.css HTTP/1.1" 200 292701
0:0:0:0:0:0:0:1 - - [22/Jan/2021:17:44:54 -0300] "GET /TFTbuilder/Styles/index.css HTTP/1.1" 200 1071
0:0:0:0:0:0:0:1 - - [22/Jan/2021:17:44:54 -0300] "GET /TFTbuilder/MDB/js/mdb.min.js HTTP/1.1" 200 214603
0:0:0:0:0:0:0:1 - - [22/Jan/2021:17:44:54 -0300] "GET /TFTbuilder/Imagens/Misc/Logo.png HTTP/1.1" 200 68274
0:0:0:0:0:0:0:1 - - [22/Jan/2021:17:44:54 -0300] "GET /TFTbuilder/Imagens/Usuarios/sieg.png HTTP/1.1" 200 25528
0:0:0:0:0:0:0:1 - - [22/Jan/2021:17:44:54 -0300] "GET /TFTbuilder/Imagens/Misc/Fundo.png HTTP/1.1" 200 1159934
0:0:0:0:0:0:0:1 - - [22/Jan/2021:17:44:55 -0300] "GET /TFTbuilder/Imagens/Misc/favicon.png HTTP/1.1" 200 28937
0:0:0:0:0:0:0:1 - - [22/Jan/2021:17:44:59 -0300] "GET /TFTbuilder/Controlers/index.jsp HTTP/1.1" 200 3938
0:0:0:0:0:0:0:1 - - [22/Jan/2021:17:44:59 -0300] "GET /TFTbuilder/MDB/css/mdb.min.css HTTP/1.1" 200 292701
0:0:0:0:0:0:0:1 - - [22/Jan/2021:17:44:59 -0300] "GET /TFTbuilder/Styles/index.css HTTP/1.1" 200 1071
0:0:0:0:0:0:0:1 - - [22/Jan/2021:17:44:59 -0300] "GET /TFTbuilder/MDB/js/mdb.min.js HTTP/1.1" 200 214603
0:0:0:0:0:0:0:1 - - [22/Jan/2021:17:44:59 -0300] "GET /TFTbuilder/Imagens/Misc/Logo.png HTTP/1.1" 200 68274
0:0:0:0:0:0:0:1 - - [22/Jan/2021:17:44:59 -0300] "GET /TFTbuilder/Imagens/Usuarios/sieg.png HTTP/1.1" 200 25528
0:0:0:0:0:0:0:1 - - [22/Jan/2021:17:44:59 -0300] "GET /TFTbuilder/Imagens/Misc/Fundo.png HTTP/1.1" 200 1159934
0:0:0:0:0:0:0:1 - - [22/Jan/2021:17:45:00 -0300] "GET /TFTbuilder/Imagens/Misc/favicon.png HTTP/1.1" 200 28937
0:0:0:0:0:0:0:1 - - [22/Jan/2021:17:45:08 -0300] "GET /TFTbuilder/Controlers/index.jsp HTTP/1.1" 200 3942
0:0:0:0:0:0:0:1 - - [22/Jan/2021:17:45:08 -0300] "GET /TFTbuilder/MDB/css/mdb.min.css HTTP/1.1" 200 292701
0:0:0:0:0:0:0:1 - - [22/Jan/2021:17:45:08 -0300] "GET /TFTbuilder/Styles/index.css HTTP/1.1" 200 1071
0:0:0:0:0:0:0:1 - - [22/Jan/2021:17:45:08 -0300] "GET /TFTbuilder/MDB/js/mdb.min.js HTTP/1.1" 200 214603
0:0:0:0:0:0:0:1 - - [22/Jan/2021:17:45:08 -0300] "GET /TFTbuilder/Imagens/Misc/Logo.png HTTP/1.1" 200 68274
0:0:0:0:0:0:0:1 - - [22/Jan/2021:17:45:08 -0300] "GET /TFTbuilder/Imagens/Usuarios/sieg.png HTTP/1.1" 200 25528
0:0:0:0:0:0:0:1 - - [22/Jan/2021:17:45:08 -0300] "GET /TFTbuilder/Imagens/Misc/Fundo.png HTTP/1.1" 200 1159934
0:0:0:0:0:0:0:1 - - [22/Jan/2021:17:45:09 -0300] "GET /TFTbuilder/Imagens/Misc/favicon.png HTTP/1.1" 200 28937
0:0:0:0:0:0:0:1 - - [22/Jan/2021:17:45:16 -0300] "GET /TFTbuilder/Styles/index.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jan/2021:17:45:16 -0300] "GET /TFTbuilder/MDB/js/mdb.min.js.map HTTP/1.1" 200 664593
0:0:0:0:0:0:0:1 - - [22/Jan/2021:17:45:57 -0300] "GET /TFTbuilder/Controlers/index.jsp HTTP/1.1" 200 3972
0:0:0:0:0:0:0:1 - - [22/Jan/2021:17:45:57 -0300] "GET /TFTbuilder/MDB/css/mdb.min.css HTTP/1.1" 200 292701
0:0:0:0:0:0:0:1 - - [22/Jan/2021:17:45:57 -0300] "GET /TFTbuilder/Styles/index.css HTTP/1.1" 200 1071
0:0:0:0:0:0:0:1 - - [22/Jan/2021:17:45:57 -0300] "GET /TFTbuilder/MDB/js/mdb.min.js HTTP/1.1" 200 214603
